review,clean_review,tokens
i love that it makes my skin feel smooth ,love makes skin feel smooth,"['love', 'makes', 'skin', 'feel', 'smooth']"
this smells so good and makes my face feel so clean ive noticed tighterlooking pores after a few weeks ,smells good makes face feel clean ive noticed tighterlooking pores weeks,"['smells', 'good', 'makes', 'face', 'feel', 'clean', 'ive', 'noticed', 'tighterlooking', 'pores', 'weeks']"
love this product  i use the full size bottle at home every day twice a day i ordered this travel size for an upcoming trip the first one they sent the cap would not click down sent it back second one is better but i really dont think it would make it through a flight will have to transfer to a travel bottle so kinda defeats the purpose thayers needs to come up with better packaging for travel because this wont work ,love product use full size bottle home every day twice day ordered travel size upcoming trip first one sent cap would not click sent back second one better really dont think would make flight transfer travel bottle kinda defeats purpose thayers needs come better packaging travel wont work,"['love', 'product', 'use', 'full', 'size', 'bottle', 'home', 'every', 'day', 'twice', 'day', 'ordered', 'travel', 'size', 'upcoming', 'trip', 'first', 'one', 'sent', 'cap', 'would', 'not', 'click', 'sent', 'back', 'second', 'one', 'better', 'really', 'dont', 'think', 'would', 'make', 'flight', 'transfer', 'travel', 'bottle', 'kinda', 'defeats', 'purpose', 'thayers', 'needs', 'come', 'better', 'packaging', 'travel', 'wont', 'work']"
product was great however one of the three bottles leaked  lid was not tight ,product great however one three bottles leaked lid not tight,"['product', 'great', 'however', 'one', 'three', 'bottles', 'leaked', 'lid', 'not', 'tight']"
all of the bottles were half empty im not really sure how that would happen since theyre all sealed but i was pretty disappointed i love this product but,bottles half empty im not really sure would happen since theyre sealed pretty disappointed love product,"['bottles', 'half', 'empty', 'im', 'not', 'really', 'sure', 'would', 'happen', 'since', 'theyre', 'sealed', 'pretty', 'disappointed', 'love', 'product']"
i love this for a toner i use it once in awhile when im out of my dickinson twice daily day and night when i do my face regiment its nonirritating and i have very oily sensitive skin it seems to do well with my skin type and im sure other skin type as well it also doesnt smell horrible the way the dickinson poreperfect in the yellow bottle smells but i usually use the alcoholfree hydrating toner from dickinson enhanced with witch hazel and love that even more than this product but it definitely comes in a close second place the lavender scent is also very soothing in this thank you amazon for carrying everything i need i love u amazoncom lol great product works wonders,love toner use awhile im dickinson twice daily day night face regiment nonirritating oily sensitive skin seems well skin type im sure skin type well also doesnt smell horrible way dickinson poreperfect yellow bottle smells usually use alcoholfree hydrating toner dickinson enhanced witch hazel love even product definitely comes close second place lavender scent also soothing thank amazon carrying everything need love u amazoncom lol great product works wonders,"['love', 'toner', 'use', 'awhile', 'im', 'dickinson', 'twice', 'daily', 'day', 'night', 'face', 'regiment', 'nonirritating', 'oily', 'sensitive', 'skin', 'seems', 'well', 'skin', 'type', 'im', 'sure', 'skin', 'type', 'well', 'also', 'doesnt', 'smell', 'horrible', 'way', 'dickinson', 'poreperfect', 'yellow', 'bottle', 'smells', 'usually', 'use', 'alcoholfree', 'hydrating', 'toner', 'dickinson', 'enhanced', 'witch', 'hazel', 'love', 'even', 'product', 'definitely', 'comes', 'close', 'second', 'place', 'lavender', 'scent', 'also', 'soothing', 'thank', 'amazon', 'carrying', 'everything', 'need', 'love', 'u', 'amazoncom', 'lol', 'great', 'product', 'works', 'wonders']"
this was the first time i tried this specific toner i bought it try out and see how my skin reacted to it as i am planning to pack for a trip in the near future although its not my favorite i do like it it smells really good and i like how my skin feels after using it i think for the price and amount i would definitely pack for my flight ,first time tried specific toner bought try see skin reacted planning pack trip near future although not favorite like smells really good like skin feels using think price amount would definitely pack flight,"['first', 'time', 'tried', 'specific', 'toner', 'bought', 'try', 'see', 'skin', 'reacted', 'planning', 'pack', 'trip', 'near', 'future', 'although', 'not', 'favorite', 'like', 'smells', 'really', 'good', 'like', 'skin', 'feels', 'using', 'think', 'price', 'amount', 'would', 'definitely', 'pack', 'flight']"
i use this at home in a big bottle so this size was perfect for traveling  but having it shipped online is not recommended  i like it because it has little or no scent and feels good on my skin  problem is when shipping the loose bottle is thrown in a bag with no support  i received it once and it leaked all over the bag  it must have been squished in shipment and the silver seal inside popped off  ordered it a second time and the same thing happened only it stayed mostly full  i can refill it so i just kept the bottle  it is just that a little more care in packaging would have been appreciated like products but dont recommend ordering online,use home big bottle size perfect traveling shipped online not recommended like little no scent feels good skin problem shipping loose bottle thrown bag no support received leaked bag must squished shipment silver seal inside popped ordered second time thing happened stayed mostly full refill kept bottle little care packaging would appreciated like products dont recommend ordering online,"['use', 'home', 'big', 'bottle', 'size', 'perfect', 'traveling', 'shipped', 'online', 'not', 'recommended', 'like', 'little', 'no', 'scent', 'feels', 'good', 'skin', 'problem', 'shipping', 'loose', 'bottle', 'thrown', 'bag', 'no', 'support', 'received', 'leaked', 'bag', 'must', 'squished', 'shipment', 'silver', 'seal', 'inside', 'popped', 'ordered', 'second', 'time', 'thing', 'happened', 'stayed', 'mostly', 'full', 'refill', 'kept', 'bottle', 'little', 'care', 'packaging', 'would', 'appreciated', 'like', 'products', 'dont', 'recommend', 'ordering', 'online']"
i love this product and i wish i could keep getting it but i cant i have to find a new travel size toner im a flight attendant so i am constantly on the move uprooting my belongings and i dont need travel size while im working but i do still travel a lot for leisure so i need travel sizes of most of my stuff so i dont constantly have to switch out also it helps save space ive gotten this product twice now the first time i used it once or twice and it got flipped on its side to put in my bag differently and all of it was gone by the time i noticed luckily it doesnt really damage anything and it smells good and its fast drying so not a travesty i just thought i hadnt sealed it all the way or it was a leaky bottle nope i ordered again used it once and then half the bottle leaked again so just dont use this in an environment where it might need to be anywhere but upright dont travel with it,love product wish could keep getting cant find new travel size toner im flight attendant constantly move uprooting belongings dont need travel size im working still travel lot leisure need travel sizes stuff dont constantly switch also helps save space ive gotten product twice first time used twice got flipped side put bag differently gone time noticed luckily doesnt really damage anything smells good fast drying not travesty thought hadnt sealed way leaky bottle nope ordered used half bottle leaked dont use environment might need anywhere upright dont travel,"['love', 'product', 'wish', 'could', 'keep', 'getting', 'cant', 'find', 'new', 'travel', 'size', 'toner', 'im', 'flight', 'attendant', 'constantly', 'move', 'uprooting', 'belongings', 'dont', 'need', 'travel', 'size', 'im', 'working', 'still', 'travel', 'lot', 'leisure', 'need', 'travel', 'sizes', 'stuff', 'dont', 'constantly', 'switch', 'also', 'helps', 'save', 'space', 'ive', 'gotten', 'product', 'twice', 'first', 'time', 'used', 'twice', 'got', 'flipped', 'side', 'put', 'bag', 'differently', 'gone', 'time', 'noticed', 'luckily', 'doesnt', 'really', 'damage', 'anything', 'smells', 'good', 'fast', 'drying', 'not', 'travesty', 'thought', 'hadnt', 'sealed', 'way', 'leaky', 'bottle', 'nope', 'ordered', 'used', 'half', 'bottle', 'leaked', 'dont', 'use', 'environment', 'might', 'need', 'anywhere', 'upright', 'dont', 'travel']"
i use this as my travel makeup removertoner feels clean and doesnt hurt my eyes ,use travel makeup removertoner feels clean doesnt hurt eyes,"['use', 'travel', 'makeup', 'removertoner', 'feels', 'clean', 'doesnt', 'hurt', 'eyes']"
i love this scent ,love scent,"['love', 'scent']"
firstly ive been using this product for many years its always been 12oz now the 3oz size looks like a great deal if you miss the part that says 3 oz if you buy it again or buy from essentials  you pay 2x as muchproduct itself has always been great im speaking to the deceptive practice of same labeling same shape being misleading for an online sale5 stars for the product 1star  for deceptive size  pricing ,firstly ive using product many years always 12oz 3oz size looks like great deal miss part says 3 oz buy buy essentials pay 2x muchproduct always great im speaking deceptive practice labeling shape misleading online sale5 stars product 1star deceptive size pricing,"['firstly', 'ive', 'using', 'product', 'many', 'years', 'always', '12oz', '3oz', 'size', 'looks', 'like', 'great', 'deal', 'miss', 'part', 'says', '3', 'oz', 'buy', 'buy', 'essentials', 'pay', '2x', 'muchproduct', 'always', 'great', 'im', 'speaking', 'deceptive', 'practice', 'labeling', 'shape', 'misleading', 'online', 'sale5', 'stars', 'product', '1star', 'deceptive', 'size', 'pricing']"
this toner dries quickly and helps to even out my skin without being too drying or harsh ,toner dries quickly helps even skin without drying harsh,"['toner', 'dries', 'quickly', 'helps', 'even', 'skin', 'without', 'drying', 'harsh']"
its easy to smell good but if you want to just smell fresh without a scent get this unscented witchazel this is a great skin toner antiseptic and cleanser barbers use it for that this is one of those skin secrets that dad forgot to tell you about a 100 year old skin toner,easy smell good want smell fresh without scent get unscented witchazel great skin toner antiseptic cleanser barbers use one skin secrets dad forgot tell 100 year old skin toner,"['easy', 'smell', 'good', 'want', 'smell', 'fresh', 'without', 'scent', 'get', 'unscented', 'witchazel', 'great', 'skin', 'toner', 'antiseptic', 'cleanser', 'barbers', 'use', 'one', 'skin', 'secrets', 'dad', 'forgot', 'tell', '100', 'year', 'old', 'skin', 'toner']"
it felt like i was at the spa the smell of cucumber is great for this toner i used this for travel and it made me feel so fresh i love the smell,felt like spa smell cucumber great toner used travel made feel fresh love smell,"['felt', 'like', 'spa', 'smell', 'cucumber', 'great', 'toner', 'used', 'travel', 'made', 'feel', 'fresh', 'love', 'smell']"
i use it for my daily routine its exactly what i wanted,use daily routine exactly wanted,"['use', 'daily', 'routine', 'exactly', 'wanted']"
hands down one of the best toners ive used ive tried others and they feel way too harsh for my skin i have rosacea and this is soooo soothing the smell is amazing too will be using from now on highly recommend for sensitive skin ,hands one best toners ive used ive tried others feel way harsh skin rosacea soooo soothing smell amazing using highly recommend sensitive skin,"['hands', 'one', 'best', 'toners', 'ive', 'used', 'ive', 'tried', 'others', 'feel', 'way', 'harsh', 'skin', 'rosacea', 'soooo', 'soothing', 'smell', 'amazing', 'using', 'highly', 'recommend', 'sensitive', 'skin']"
i did not like it it made my skin yucky i would never use it again i have combination skin did not like the smell you dont smell any roses thats for sure sorry for the three stars,not like made skin yucky would never use combination skin not like smell dont smell roses thats sure sorry three stars,"['not', 'like', 'made', 'skin', 'yucky', 'would', 'never', 'use', 'combination', 'skin', 'not', 'like', 'smell', 'dont', 'smell', 'roses', 'thats', 'sure', 'sorry', 'three', 'stars']"
i have been using the unscented version of thayers toner and liked it i needed a travel size version and usually like cucumber scented things so i decided to try the travel sized cucumber version mistake it smells like cucumber but like an old musty one i dont think the formula works as well eitheralso the bottle leaked during travel would be good for a trial run before buying a full sized bottle i am so glad i didnt buy 12 ounces of cucumber blegh but i cant recommend it for travel ,using unscented version thayers toner liked needed travel size version usually like cucumber scented things decided try travel sized cucumber version mistake smells like cucumber like old musty one dont think formula works well eitheralso bottle leaked travel would good trial run buying full sized bottle glad didnt buy 12 ounces cucumber blegh cant recommend travel,"['using', 'unscented', 'version', 'thayers', 'toner', 'liked', 'needed', 'travel', 'size', 'version', 'usually', 'like', 'cucumber', 'scented', 'things', 'decided', 'try', 'travel', 'sized', 'cucumber', 'version', 'mistake', 'smells', 'like', 'cucumber', 'like', 'old', 'musty', 'one', 'dont', 'think', 'formula', 'works', 'well', 'eitheralso', 'bottle', 'leaked', 'travel', 'would', 'good', 'trial', 'run', 'buying', 'full', 'sized', 'bottle', 'glad', 'didnt', 'buy', '12', 'ounces', 'cucumber', 'blegh', 'cant', 'recommend', 'travel']"
i am new to toner so i wanted a smaller size before i commit to a big bottle this did not irritate my skin even though i started using it twice a day straight out of the gate which ive learned that maybe you shouldnt do smell is subtle but fresh  cucumbery but a natural smell not artificial cucumber it will not give you cucumber melon ptsd lol it is a nice skin refresher not overly drying i believe it is alcohol free good toner for beginners,new toner wanted smaller size commit big bottle not irritate skin even though started using twice day straight gate ive learned maybe shouldnt smell subtle fresh cucumbery natural smell not artificial cucumber not give cucumber melon ptsd lol nice skin refresher not overly drying believe alcohol free good toner beginners,"['new', 'toner', 'wanted', 'smaller', 'size', 'commit', 'big', 'bottle', 'not', 'irritate', 'skin', 'even', 'though', 'started', 'using', 'twice', 'day', 'straight', 'gate', 'ive', 'learned', 'maybe', 'shouldnt', 'smell', 'subtle', 'fresh', 'cucumbery', 'natural', 'smell', 'not', 'artificial', 'cucumber', 'not', 'give', 'cucumber', 'melon', 'ptsd', 'lol', 'nice', 'skin', 'refresher', 'not', 'overly', 'drying', 'believe', 'alcohol', 'free', 'good', 'toner', 'beginners']"
i have been using this for the past several years as a facial toner and it works well i purchased this small container as a travel toner perfect ,using past several years facial toner works well purchased small container travel toner perfect,"['using', 'past', 'several', 'years', 'facial', 'toner', 'works', 'well', 'purchased', 'small', 'container', 'travel', 'toner', 'perfect']"
its the perfect size if you want to just try it out and i already ran out going to get the bigger bottle for sure ,perfect size want try already ran going get bigger bottle sure,"['perfect', 'size', 'want', 'try', 'already', 'ran', 'going', 'get', 'bigger', 'bottle', 'sure']"
good for my hyperpigmentation ,good hyperpigmentation,"['good', 'hyperpigmentation']"
only been using for a few days so unsure of results as far as correcting dark spots but i like that it doesnt have a strong scent and hasnt irritated my sensitive skin not too harsh for sensitive skin,using days unsure results far correcting dark spots like doesnt strong scent hasnt irritated sensitive skin not harsh sensitive skin,"['using', 'days', 'unsure', 'results', 'far', 'correcting', 'dark', 'spots', 'like', 'doesnt', 'strong', 'scent', 'hasnt', 'irritated', 'sensitive', 'skin', 'not', 'harsh', 'sensitive', 'skin']"
read good things about this  but didnt want to order a full size this was a little smaller than expected but will serve the purpose ,read good things didnt want order full size little smaller expected serve purpose,"['read', 'good', 'things', 'didnt', 'want', 'order', 'full', 'size', 'little', 'smaller', 'expected', 'serve', 'purpose']"
very tiny but heard great things about this its a sample size,tiny heard great things sample size,"['tiny', 'heard', 'great', 'things', 'sample', 'size']"
the product is really great ,product really great,"['product', 'really', 'great']"
just started using it and i have seen a difference in my dark spots  not sure if they will totally fade but i do see a difference ,started using seen difference dark spots not sure totally fade see difference,"['started', 'using', 'seen', 'difference', 'dark', 'spots', 'not', 'sure', 'totally', 'fade', 'see', 'difference']"
i have been using this for almost seven weeks by now there is not any change or improvement in my skin at all brown spots are the same and i have just a few my skin still oily so no oil control either dont waste your money or time with this product sorry but i say this based in my experience not recommend ,using almost seven weeks not change improvement skin brown spots skin still oily no oil control either dont waste money time product sorry say based experience not recommend,"['using', 'almost', 'seven', 'weeks', 'not', 'change', 'improvement', 'skin', 'brown', 'spots', 'skin', 'still', 'oily', 'no', 'oil', 'control', 'either', 'dont', 'waste', 'money', 'time', 'product', 'sorry', 'say', 'based', 'experience', 'not', 'recommend']"
i saw no results ,saw no results,"['saw', 'no', 'results']"
i dont even know if it works because my bottle was break and all the product leaked out of it  its the worth the price to be that small ,dont even know works bottle break product leaked worth price small,"['dont', 'even', 'know', 'works', 'bottle', 'break', 'product', 'leaked', 'worth', 'price', 'small']"
this product is over priced because why was it 22 dollars its not 7 dollars please update the description way overpriced i want a refund ,product priced 22 dollars not 7 dollars please update description way overpriced want refund,"['product', 'priced', '22', 'dollars', 'not', '7', 'dollars', 'please', 'update', 'description', 'way', 'overpriced', 'want', 'refund']"
i didnt receive the package the package was empty ,didnt receive package package empty,"['didnt', 'receive', 'package', 'package', 'empty']"
misleadingincorrect title product is 13 of an oz not 3 oz basically a sample size 3 oz not 3 oz,misleadingincorrect title product 13 oz not 3 oz basically sample size 3 oz not 3 oz,"['misleadingincorrect', 'title', 'product', '13', 'oz', 'not', '3', 'oz', 'basically', 'sample', 'size', '3', 'oz', 'not', '3', 'oz']"
this item is a sample size and it is over priced need to update product description ,item sample size priced need update product description,"['item', 'sample', 'size', 'priced', 'need', 'update', 'product', 'description']"
extremely small  not what i expected to be not what i paid for  not what i expected,extremely small not expected not paid not expected,"['extremely', 'small', 'not', 'expected', 'not', 'paid', 'not', 'expected']"
this item was too small for the price ,item small price,"['item', 'small', 'price']"
 not at all big like the picture or worth purchasing from amazon,not big like picture worth purchasing amazon,"['not', 'big', 'like', 'picture', 'worth', 'purchasing', 'amazon']"
i was hesitant about purchasing this but i am so glad i did i wanted something to help with the texture and dark spots on my 47 year old face it was exactly what i needed and i will get this on subscribe so i am never without ,hesitant purchasing glad wanted something help texture dark spots 47 year old face exactly needed get subscribe never without,"['hesitant', 'purchasing', 'glad', 'wanted', 'something', 'help', 'texture', 'dark', 'spots', '47', 'year', 'old', 'face', 'exactly', 'needed', 'get', 'subscribe', 'never', 'without']"
ive used this product for about various week and so far so good pros pretty neutral scent clean tingly feeling on skin leaves my skin smoother when used under moisturizer both am and pm tone appears more even cons bottle is glass no dispenser top on the mouth of the bottle comes with a stopper that i did think had a small dispensing hole in the center but upon closer inspection its solid too bad because such a top wouldve been ideal price is a bit high but a little goes a long way on a cotton ball so i expect this bottle to last a while ,ive used product various week far good pros pretty neutral scent clean tingly feeling skin leaves skin smoother used moisturizer pm tone appears even cons bottle glass no dispenser top mouth bottle comes stopper think small dispensing hole center upon closer inspection solid bad top wouldve ideal price bit high little goes long way cotton ball expect bottle last,"['ive', 'used', 'product', 'various', 'week', 'far', 'good', 'pros', 'pretty', 'neutral', 'scent', 'clean', 'tingly', 'feeling', 'skin', 'leaves', 'skin', 'smoother', 'used', 'moisturizer', 'pm', 'tone', 'appears', 'even', 'cons', 'bottle', 'glass', 'no', 'dispenser', 'top', 'mouth', 'bottle', 'comes', 'stopper', 'think', 'small', 'dispensing', 'hole', 'center', 'upon', 'closer', 'inspection', 'solid', 'bad', 'top', 'wouldve', 'ideal', 'price', 'bit', 'high', 'little', 'goes', 'long', 'way', 'cotton', 'ball', 'expect', 'bottle', 'last']"
finally some things work ,finally things work,"['finally', 'things', 'work']"
i recommended it for sensitive skin very soft and you can see the result quick soft on the skin,recommended sensitive skin soft see result quick soft skin,"['recommended', 'sensitive', 'skin', 'soft', 'see', 'result', 'quick', 'soft', 'skin']"
my daughter recommended this to me my skin looks a lot better ,daughter recommended skin looks lot better,"['daughter', 'recommended', 'skin', 'looks', 'lot', 'better']"
no noticeable difference in brightness after a few weeks of use ,no noticeable difference brightness weeks use,"['no', 'noticeable', 'difference', 'brightness', 'weeks', 'use']"
does not work for me as well as they say ,not work well say,"['not', 'work', 'well', 'say']"
my face looks so much better ,face looks much better,"['face', 'looks', 'much', 'better']"
i really was hoping that this product was the one unfortunately i didnt see and changes in texture tone or fading of dark spots a very disappointing product ,really hoping product one unfortunately didnt see changes texture tone fading dark spots disappointing product,"['really', 'hoping', 'product', 'one', 'unfortunately', 'didnt', 'see', 'changes', 'texture', 'tone', 'fading', 'dark', 'spots', 'disappointing', 'product']"
i used it daily for a month and did not see any difference in my skin  i will not purchase again ,used daily month not see difference skin not purchase,"['used', 'daily', 'month', 'not', 'see', 'difference', 'skin', 'not', 'purchase']"
i have extremely sensitive acne prone dehydrated skin i have been in search of a gentle exfoliant for ages now and im 99 sure ive found it in these toner padspros large pads sterile packaging the tweezers are super convenient removes any residual product on skin post cleansing  and most importantly in just three days i have noticed an insane difference in the pores on my cheek i also had a pimple on my forehead flatten in just one usecons my face is red for a few minutes after use and the lid on my jar does not close all of the way i have to mess with it for a while before it closed completely which is very important with this product you do not want the solution inside to dry up three days in smaller pores,extremely sensitive acne prone dehydrated skin search gentle exfoliant ages im 99 sure ive found toner padspros large pads sterile packaging tweezers super convenient removes residual product skin post cleansing importantly three days noticed insane difference pores cheek also pimple forehead flatten one usecons face red minutes use lid jar not close way mess closed completely important product not want solution inside dry three days smaller pores,"['extremely', 'sensitive', 'acne', 'prone', 'dehydrated', 'skin', 'search', 'gentle', 'exfoliant', 'ages', 'im', '99', 'sure', 'ive', 'found', 'toner', 'padspros', 'large', 'pads', 'sterile', 'packaging', 'tweezers', 'super', 'convenient', 'removes', 'residual', 'product', 'skin', 'post', 'cleansing', 'importantly', 'three', 'days', 'noticed', 'insane', 'difference', 'pores', 'cheek', 'also', 'pimple', 'forehead', 'flatten', 'one', 'usecons', 'face', 'red', 'minutes', 'use', 'lid', 'jar', 'not', 'close', 'way', 'mess', 'closed', 'completely', 'important', 'product', 'not', 'want', 'solution', 'inside', 'dry', 'three', 'days', 'smaller', 'pores']"
its work for all types skin whether you have dry sensitive oily or combination skin the needly daily toner pad is your skincare friend  its gentle yet effective formula ensures that everyone can enjoy all the benefits the best part i like about this toner pad is the amount of essence in the container the pad is thoroughly soaked with the essences so it never dries out since i started using the needly toner pad i could feel my skin has a big changes so i had it on my facial routinei used the toner pad every day and every night wiping it on my face after cleansing and then i continued with my normal skincare routine serum moisturizer and im good to go for the day suitable for all skin types,work types skin whether dry sensitive oily combination skin needly daily toner pad skincare friend gentle yet effective formula ensures everyone enjoy benefits best part like toner pad amount essence container pad thoroughly soaked essences never dries since started using needly toner pad could feel skin big changes facial routinei used toner pad every day every night wiping face cleansing continued normal skincare routine serum moisturizer im good go day suitable skin types,"['work', 'types', 'skin', 'whether', 'dry', 'sensitive', 'oily', 'combination', 'skin', 'needly', 'daily', 'toner', 'pad', 'skincare', 'friend', 'gentle', 'yet', 'effective', 'formula', 'ensures', 'everyone', 'enjoy', 'benefits', 'best', 'part', 'like', 'toner', 'pad', 'amount', 'essence', 'container', 'pad', 'thoroughly', 'soaked', 'essences', 'never', 'dries', 'since', 'started', 'using', 'needly', 'toner', 'pad', 'could', 'feel', 'skin', 'big', 'changes', 'facial', 'routinei', 'used', 'toner', 'pad', 'every', 'day', 'every', 'night', 'wiping', 'face', 'cleansing', 'continued', 'normal', 'skincare', 'routine', 'serum', 'moisturizer', 'im', 'good', 'go', 'day', 'suitable', 'skin', 'types']"
im so happy that the container is sealed really well so the giant pads always are hydrated they dont burn my skin i love the tweezers that come with it since it makes getting the pads apart a breeze definitely want to try their other products sometime  i really like these,im happy container sealed really well giant pads always hydrated dont burn skin love tweezers come since makes getting pads apart breeze definitely want try products sometime really like,"['im', 'happy', 'container', 'sealed', 'really', 'well', 'giant', 'pads', 'always', 'hydrated', 'dont', 'burn', 'skin', 'love', 'tweezers', 'come', 'since', 'makes', 'getting', 'pads', 'apart', 'breeze', 'definitely', 'want', 'try', 'products', 'sometime', 'really', 'like']"
they feel light smell like tea  and they literally made my skin feel plump and dewy the next day daily facial toner pads,feel light smell like tea literally made skin feel plump dewy next day daily facial toner pads,"['feel', 'light', 'smell', 'like', 'tea', 'literally', 'made', 'skin', 'feel', 'plump', 'dewy', 'next', 'day', 'daily', 'facial', 'toner', 'pads']"
the toner ive been using for years is being discontinued so coming across these was just perfect timing the pads are much larger than what you would expect and are saturated in the toner so happy with these so far my skin feels amazing ,toner ive using years discontinued coming across perfect timing pads much larger would expect saturated toner happy far skin feels amazing,"['toner', 'ive', 'using', 'years', 'discontinued', 'coming', 'across', 'perfect', 'timing', 'pads', 'much', 'larger', 'would', 'expect', 'saturated', 'toner', 'happy', 'far', 'skin', 'feels', 'amazing']"
the pads are huge they cover a lot of area and hold a great amount of product  great value for the price ,pads huge cover lot area hold great amount product great value price,"['pads', 'huge', 'cover', 'lot', 'area', 'hold', 'great', 'amount', 'product', 'great', 'value', 'price']"
i have used an exfoliating toner for years another brand  this is very comparable and does work well  it is also cheaper than department store brands  it does change your skin prepping it by removing your old skin and helping your products like serum and moisturizers absorb deeper and be more effective  if you havent used one this is a good one to try  i took advice from other reviews and cut mine in half because they are large and more than you need in one use  also if you are packing this away for a trip put it in a sealed baggie because the jar will leak exfoliating toners are great to use,used exfoliating toner years another brand comparable work well also cheaper department store brands change skin prepping removing old skin helping products like serum moisturizers absorb deeper effective havent used one good one try took advice reviews cut mine half large need one use also packing away trip put sealed baggie jar leak exfoliating toners great use,"['used', 'exfoliating', 'toner', 'years', 'another', 'brand', 'comparable', 'work', 'well', 'also', 'cheaper', 'department', 'store', 'brands', 'change', 'skin', 'prepping', 'removing', 'old', 'skin', 'helping', 'products', 'like', 'serum', 'moisturizers', 'absorb', 'deeper', 'effective', 'havent', 'used', 'one', 'good', 'one', 'try', 'took', 'advice', 'reviews', 'cut', 'mine', 'half', 'large', 'need', 'one', 'use', 'also', 'packing', 'away', 'trip', 'put', 'sealed', 'baggie', 'jar', 'leak', 'exfoliating', 'toners', 'great', 'use']"
my skin was hurting for somemoisture and apparently pore tightening literally i used this and overnight my skin looks better and brighter these will now be incorporated into my everyday routine literally transformed my skin next day,skin hurting somemoisture apparently pore tightening literally used overnight skin looks better brighter incorporated everyday routine literally transformed skin next day,"['skin', 'hurting', 'somemoisture', 'apparently', 'pore', 'tightening', 'literally', 'used', 'overnight', 'skin', 'looks', 'better', 'brighter', 'incorporated', 'everyday', 'routine', 'literally', 'transformed', 'skin', 'next', 'day']"
ive begun to see an improvement on dark spots on my face ,ive begun see improvement dark spots face,"['ive', 'begun', 'see', 'improvement', 'dark', 'spots', 'face']"
i like this product it gives clear and beautiful skin ,like product gives clear beautiful skin,"['like', 'product', 'gives', 'clear', 'beautiful', 'skin']"
this product helped fade my dark spots and make my skin glow when i was using it consistently def makes your skin glow,product helped fade dark spots make skin glow using consistently def makes skin glow,"['product', 'helped', 'fade', 'dark', 'spots', 'make', 'skin', 'glow', 'using', 'consistently', 'def', 'makes', 'skin', 'glow']"
after 2weeks i noticed a difference and will continue to use ,2weeks noticed difference continue use,"['2weeks', 'noticed', 'difference', 'continue', 'use']"
to disappear black spot in the upper part of my chiick under my eyes good for my skin,disappear black spot upper part chiick eyes good skin,"['disappear', 'black', 'spot', 'upper', 'part', 'chiick', 'eyes', 'good', 'skin']"
i didnt expect it to be this small ,didnt expect small,"['didnt', 'expect', 'small']"
great sample size if you are looking to test the product i just open the bottle its so small i already lost it thats how small it is the picture is always bigger on the screed read the description you are not disappointed o34 oz its a sample size,great sample size looking test product open bottle small already lost thats small picture always bigger screed read description not disappointed o34 oz sample size,"['great', 'sample', 'size', 'looking', 'test', 'product', 'open', 'bottle', 'small', 'already', 'lost', 'thats', 'small', 'picture', 'always', 'bigger', 'screed', 'read', 'description', 'not', 'disappointed', 'o34', 'oz', 'sample', 'size']"
i used this product for about two weeks i dont see any significant difference besides glowing so i probably should use longer pretty expensive so i bought the mini one and it lasted weeks  good consistency ,used product two weeks dont see significant difference besides glowing probably use longer pretty expensive bought mini one lasted weeks good consistency,"['used', 'product', 'two', 'weeks', 'dont', 'see', 'significant', 'difference', 'besides', 'glowing', 'probably', 'use', 'longer', 'pretty', 'expensive', 'bought', 'mini', 'one', 'lasted', 'weeks', 'good', 'consistency']"
i have brown spots on my face from too much time in the sun as a teenager over a period of three weeks you can hardly notice them and when i put on my make up you dont even see them i love this product ,brown spots face much time sun teenager period three weeks hardly notice put make dont even see love product,"['brown', 'spots', 'face', 'much', 'time', 'sun', 'teenager', 'period', 'three', 'weeks', 'hardly', 'notice', 'put', 'make', 'dont', 'even', 'see', 'love', 'product']"
its doing a good job at evening my skin and light skin dark spots  its been helping prevent them too  its just when its dont drying after i layer it it kinda leaves my face sticky sticky on my face but good product,good job evening skin light skin dark spots helping prevent dont drying layer kinda leaves face sticky sticky face good product,"['good', 'job', 'evening', 'skin', 'light', 'skin', 'dark', 'spots', 'helping', 'prevent', 'dont', 'drying', 'layer', 'kinda', 'leaves', 'face', 'sticky', 'sticky', 'face', 'good', 'product']"
although the bottle is super small its a great product my skin looks fresh after using it   ,although bottle super small great product skin looks fresh using,"['although', 'bottle', 'super', 'small', 'great', 'product', 'skin', 'looks', 'fresh', 'using']"
this product works if you are consistently persistent  i use it in combination with lace fingerless gloves  its not a cure but the brown liver spots are noticeably lighter in about 3 weeks ,product works consistently persistent use combination lace fingerless gloves not cure brown liver spots noticeably lighter 3 weeks,"['product', 'works', 'consistently', 'persistent', 'use', 'combination', 'lace', 'fingerless', 'gloves', 'not', 'cure', 'brown', 'liver', 'spots', 'noticeably', 'lighter', '3', 'weeks']"
